265,360
285,395
305,415
340,460
360,485
380,490
410,520
440,550
470,580
500,610
560,670
575,685
620,730
740,855
800,915
890,1000
1040,1140
1130,1230
1250,1350
1705,1800
1725,1835
1745,1855
1780,1900
1800,1925
1820,1930
1850,1960
1880,1990
1910,2020
1940,2050
2000,2110
2015,2125
2060,2170
2180,2295
2240,2355
2330,2440
2480,2580
2570,2670
2690,2790
3145,3240
3165,3275
3185,3295
3220,3340
3240,3365
3260,3370
3290,3400
3320,3430
3350,3460
3380,3490
3440,3550
3455,3565
3500,3610
3620,3735
3680,3795
3770,3880
3920,4020
4010,4110
4130,4230
4585,4680
4605,4715
4625,4735
4660,4780
4680,4805
4700,4810
4730,4840
4760,4870
4790,4900
4820,4930
4880,4990
4895,5005
4940,5050
5060,5175
5120,5235
5210,5320
5360,5460
5450,5550
5570,5670
6025,6120
6045,6155
6065,6175
6100,6220
6120,6245
6140,6250
6170,6280
6200,6310
6230,6340
6260,6370
6320,6430
6335,6445
6380,6490
6500,6615
6560,6675
6650,6760
6800,6900
6890,6990
7010,7110
7575,7680
7695,7800
7815,7921
7935,8040
8055,8160
8175,8280
8295,8400
8415,8520
9015,9120
9135,9240
9255,9361
9375,9480
9495,9600
9615,9720
9735,9840
9855,9960
